time	V(N004,N005)	V(n003)
7.509738995587145e-002	5.758405e-003	9.003894e-001
7.511362764598942e-002	1.158479e-002	9.730230e-001
7.513046562393271e-002	2.301854e-002	1.048304e+000
7.514792037597019e-002	4.304457e-002	1.126299e+000
7.516874068513633e-002	8.059341e-002	1.219257e+000
7.520429009544881e-002	1.696276e-001	1.377803e+000
7.524553875406863e-002	2.966291e-001	1.561494e+000
7.528774979780538e-002	4.443813e-001	1.749069e+000
7.534930256331013e-002	6.765603e-001	2.021688e+000
7.544432660854694e-002	1.050161e+000	2.440540e+000
7.554198285854694e-002	1.442754e+000	2.868121e+000
7.573729535854692e-002	2.236850e+000	3.711682e+000
7.603026410854691e-002	3.412641e+000	4.939408e+000
7.632323285854689e-002	4.543071e+000	6.108743e+000
7.661620160854687e-002	5.608503e+000	7.205434e+000
7.690917035854686e-002	6.593300e+000	8.216113e+000
7.720213910854684e-002	7.484024e+000	9.128459e+000
7.749510785854682e-002	8.268948e+000	9.931351e+000
7.778807660854681e-002	8.937936e+000	1.061500e+001
7.808104535854679e-002	9.482450e+000	1.117106e+001
7.837401410854678e-002	9.895592e+000	1.159277e+001
7.866698285854676e-002	1.017215e+001	1.187496e+001
7.895995160854674e-002	1.030864e+001	1.201421e+001
7.925292035854673e-002	1.030334e+001	1.200881e+001
7.954588910854671e-002	1.015632e+001	1.185882e+001
7.983885785854669e-002	9.869416e+000	1.156605e+001
8.003417035854668e-002	9.602141e+000	1.129325e+001
8.013182660854668e-002	9.446230e+000	1.113408e+001
8.022948285854667e-002	9.275755e+000	1.096002e+001
8.032713910854666e-002	9.090956e+000	1.077130e+001
8.042479535854666e-002	8.892094e+000	1.056817e+001
8.052245160854665e-002	8.679446e+000	1.035091e+001
8.062010785854665e-002	8.453315e+000	1.011981e+001
8.071776410854664e-002	8.214021e+000	9.875197e+000
8.091307660854663e-002	7.697326e+000	9.346736e+000
8.110838910854662e-002	7.132317e+000	8.768389e+000
8.130370160854661e-002	6.522265e+000	8.143289e+000
8.149901410854660e-002	5.870756e+000	7.474820e+000
8.169432660854659e-002	5.181714e+000	6.766605e+000
8.188963910854658e-002	4.459446e+000	6.022479e+000
8.208495160854656e-002	3.708757e+000	5.246473e+000
8.228026410854655e-002	2.935219e+000	4.442789e+000
8.247557660854654e-002	2.145923e+000	3.615781e+000
8.267088910854653e-002	1.352051e+000	2.769925e+000
8.276854535854653e-002	9.608070e-001	2.341354e+000
8.286620160854652e-002	5.852168e-001	1.909789e+000
8.296385785854651e-002	2.411817e-001	1.476038e+000
8.300902229477876e-002	1.107880e-001	1.274763e+000
8.303943054154286e-002	5.008668e-002	1.138963e+000
8.306473589356860e-002	1.994085e-002	1.025831e+000
8.308213999822460e-002	8.795977e-003	9.479693e-001
8.309289266236991e-002	5.219996e-003	8.998421e-001
8.310512460345135e-002	2.992064e-003	8.450749e-001
8.311885392020052e-002	1.571387e-003	7.835855e-001
8.313291890293097e-002	8.033812e-004	7.205747e-001
8.314875944080680e-002	3.830492e-004	6.495891e-001
8.316732666088332e-002	1.629889e-004	5.663612e-001
8.318971561539355e-002	6.116927e-005	4.659739e-001
8.322236853652519e-002	1.718104e-005	3.195266e-001
8.327608482643920e-002	4.947186e-006	7.859583e-002
8.337374107643919e-002	1.218766e-004	-3.592603e-001
8.344235675797271e-002	9.505451e-004	-6.666417e-001
8.347855255520001e-002	3.102154e-003	-8.286066e-001
8.349816692312007e-002	6.731868e-003	-9.162889e-001
8.351450563259107e-002	1.370284e-002	-9.892721e-001
8.353340144255639e-002	2.859330e-002	-1.073620e+000
8.355068126416620e-002	5.131555e-002	-1.150692e+000
8.357429125097726e-002	9.866661e-002	-1.255882e+000
8.361280413316029e-002	2.015541e-001	-1.427218e+000
